JLCPCB,11May26,
Cooper,,
KiCad 9 Field,Value (mm),Reasoning for JLCPCB
Minimum clearance,0.127,Standard 5 mil limit.
Minimum track width,0.127,Standard 5 mil limit.
Minimum connection width,0.15,"Ensures traces don't ""pinch"" at pad entries."
Minimum annular width,0.125,Required for 0.45mm via / 0.2mm drill combo.
Minimum via diameter,0.45,Standard 4-layer via size.
Copper to hole clearance,0.25,"Prevents shorts during drill ""wander."""
Copper to edge clearance,0.4,Crucial for PCBA (Assembly) rails.
,,
Holes:,,
KiCad 9 Field,Value (mm),Reasoning
Minimum through hole,0.2,Smallest standard mechanical drill for 4-layer.
Hole to hole clearance,0.5,Prevents board cracking/webbing issues.
,,
uVias:  Note: JLCPCB's economy process does not support microvias (HDI). These are usually for high-density phone boards.,,
KiCad 9 Field,Value (mm),Reasoning
Minimum uVia diameter,0,Set to 0 to disable (prevents accidental use).
Minimum uVia hole,0,Set to 0 to disable.
,,
Silkscreen,,
KiCad 9 Field,Value (mm),Reasoning
Minimum item clearance,0.15,Prevents ink from getting on solder pads.
Minimum text height,1,JLC standard for legibility of labels like PR1.
Minimum text thickness,0.15,Ensures the ink line doesn't break during print.
,,
,,
,,
Board Editor Specifics,,
Arc/Circle Approximated by Segments:,,
Max allowed deviation: 0.005 mm,,
"Reasoning: This controls how ""smooth"" circles look. 0.005 is a standard high-quality setting that won't bloat your file size but keeps your mounting holes and the round display cutout looking circular rather than blocky.",,
Zone Fill Strategy:,,
Allow fillets / chamfers outside zone outline: [Unchecked],,
"Reasoning: If you check this, KiCad may try to ""round off"" corners of your ground plane in ways that extend beyond where you drew them. For a tight layout with precision components, it's safer to keep the copper exactly where you defined the boundary.",,
Minimum thermal relief spoke count:,,
Value: 2,,
"Reasoning: While 4 is the default, setting the minimum to 2 is helpful for tight areas (like around the ADS1115 or INA226 pins). It ensures that even in crowded spots, the pad still gets a solid connection to the ground plane, but remains ""thermally relieved"" so it's easy to solder.",,
